0,1,2,3,4
Utah Jazz,82,413,3,-50000
Portland Trail Blazers,52,413,3,2100
Utah Jazz,83,412,3,-50000
Portland Trail Blazers,52,412,3,2100
Utah Jazz,83,399,3,-50000
Portland Trail Blazers,55,399,3,2100
Utah Jazz,83,381,3,-50000
Portland Trail Blazers,55,381,3,2100
Utah Jazz,83,379,3,-50000
Portland Trail Blazers,55,379,3,2100
Utah Jazz,83,373,3,-50000
Portland Trail Blazers,55,373,3,2100
Utah Jazz,83,370,3,-50000
Portland Trail Blazers,55,370,3,2100
Utah Jazz,83,351,3,-50000
Portland Trail Blazers,55,351,3,2100
Utah Jazz,83,330,3,-50000
Portland Trail Blazers,55,330,3,2100
Utah Jazz,83,318,3,-50000
Portland Trail Blazers,55,318,3,2100
Utah Jazz,83,313,3,-50000
Portland Trail Blazers,55,313,3,2100
Utah Jazz,83,296,3,-50000
Portland Trail Blazers,57,296,3,2100
Utah Jazz,83,283,3,-50000
Portland Trail Blazers,57,283,3,2100
Utah Jazz,83,270,3,-50000
Portland Trail Blazers,59,270,3,2100
Utah Jazz,83,270,3,-50000
Portland Trail Blazers,59,270,3,1900
Utah Jazz,83,270,3,-50000
Portland Trail Blazers,59,270,3,1900
Utah Jazz,83,270,3,-50000
Portland Trail Blazers,59,270,3,1900
Utah Jazz,83,270,3,-50000
Portland Trail Blazers,59,270,3,1900
Utah Jazz,83,270,3,-50000
Portland Trail Blazers,59,270,3,1900
Utah Jazz,83,270,3,-50000
Portland Trail Blazers,59,270,3,1900
Utah Jazz,83,270,3,-50000
Portland Trail Blazers,59,270,3,1900
Utah Jazz,83,270,3,-50000
Portland Trail Blazers,59,270,3,1900
Utah Jazz,83,270,3,-50000
Portland Trail Blazers,59,270,3,1900
Utah Jazz,83,270,3,-50000
Portland Trail Blazers,59,270,3,1900
Utah Jazz,83,260,3,-50000
Portland Trail Blazers,59,260,3,1900
Utah Jazz,85,243,3,-50000
Portland Trail Blazers,59,243,3,1900
Utah Jazz,85,225,3,-50000
Portland Trail Blazers,62,225,3,1900
Utah Jazz,87,208,3,-50000
Portland Trail Blazers,62,208,3,1700
Utah Jazz,87,192,3,-50000
Portland Trail Blazers,64,192,3,2100
Utah Jazz,87,174,3,-50000
Portland Trail Blazers,64,174,3,1900
Utah Jazz,89,156,3,-50000
Portland Trail Blazers,64,156,3,1700
Utah Jazz,89,152,3,-50000
Portland Trail Blazers,64,152,3,1900
Utah Jazz,89,149,3,-50000
Portland Trail Blazers,64,149,3,1900
Utah Jazz,91,133,3,-50000
Portland Trail Blazers,66,133,3,1900
Utah Jazz,91,116,3,-50000
Portland Trail Blazers,66,116,3,1900
Utah Jazz,91,116,3,-50000
Portland Trail Blazers,66,116,3,1900
Utah Jazz,94,99,3,-50000
Portland Trail Blazers,68,99,3,2100
Utah Jazz,94,39,3,-50000
Portland Trail Blazers,68,39,3,2100
Utah Jazz,94,720,4,-50000
Portland Trail Blazers,68,720,4,2100
Utah Jazz,94,720,4,-50000
Portland Trail Blazers,68,720,4,2100
Utah Jazz,94,720,4,-50000
Portland Trail Blazers,68,720,4,2100
Utah Jazz,96,693,4,-50000
Portland Trail Blazers,70,693,4,2100
Utah Jazz,96,643,4,-50000
Portland Trail Blazers,70,643,4,2100
Utah Jazz,96,602,4,-50000
Portland Trail Blazers,70,602,4,2100
Utah Jazz,99,556,4,-50000
Portland Trail Blazers,72,556,4,2100
Utah Jazz,99,517,4,-50000
Portland Trail Blazers,74,517,4,2100
Utah Jazz,99,512,4,-50000
Portland Trail Blazers,74,512,4,2100
Utah Jazz,99,484,4,-50000
Portland Trail Blazers,79,484,4,2100
Utah Jazz,99,484,4,-50000
Portland Trail Blazers,79,484,4,2100
Utah Jazz,99,484,4,-50000
Portland Trail Blazers,79,484,4,2100
Utah Jazz,99,469,4,-50000
Portland Trail Blazers,79,469,4,2100
Utah Jazz,101,452,4,-50000
Portland Trail Blazers,79,452,4,2100
Utah Jazz,101,437,4,-50000
Portland Trail Blazers,81,437,4,2100
Utah Jazz,101,433,4,-50000
Portland Trail Blazers,81,433,4,2100
Utah Jazz,101,414,4,-50000
Portland Trail Blazers,84,414,4,2100
Utah Jazz,101,397,4,-50000
Portland Trail Blazers,84,397,4,2100
Utah Jazz,103,395,4,-50000
Portland Trail Blazers,84,395,4,2100
Utah Jazz,104,392,4,-50000
Portland Trail Blazers,84,392,4,2100
Utah Jazz,104,386,4,-50000
Portland Trail Blazers,84,386,4,2100
Utah Jazz,104,386,4,-50000
Portland Trail Blazers,85,386,4,2100
Utah Jazz,104,386,4,-50000
Portland Trail Blazers,85,386,4,2100
Utah Jazz,104,383,4,-50000
Portland Trail Blazers,86,383,4,2100
Utah Jazz,106,368,4,-50000
Portland Trail Blazers,86,368,4,2100
Utah Jazz,106,368,4,-50000
Portland Trail Blazers,86,368,4,2100
Utah Jazz,106,368,4,-50000
Portland Trail Blazers,87,368,4,2100
Utah Jazz,106,362,4,-50000
Portland Trail Blazers,88,362,4,2100
Utah Jazz,106,346,4,-50000
Portland Trail Blazers,88,346,4,2100
Utah Jazz,106,337,4,-50000
Portland Trail Blazers,88,337,4,2100
Utah Jazz,107,337,4,-50000
Portland Trail Blazers,88,337,4,2100
Utah Jazz,107,337,4,-50000
Portland Trail Blazers,88,337,4,2100
Utah Jazz,110,330,4,-50000
Portland Trail Blazers,88,330,4,2100
Utah Jazz,110,311,4,-50000
Portland Trail Blazers,88,311,4,2100
Utah Jazz,110,306,4,-50000
Portland Trail Blazers,88,306,4,2100
Utah Jazz,110,290,4,-50000
Portland Trail Blazers,90,290,4,2100
Utah Jazz,110,274,4,-50000
Portland Trail Blazers,90,274,4,2100
Utah Jazz,110,263,4,-50000
Portland Trail Blazers,90,263,4,2100
Utah Jazz,110,263,4,-50000
Portland Trail Blazers,90,263,4,2100
Utah Jazz,110,263,4,-50000
Portland Trail Blazers,90,263,4,2100
Utah Jazz,110,263,4,-50000
Portland Trail Blazers,90,263,4,2100
Utah Jazz,110,263,4,-50000
Portland Trail Blazers,90,263,4,2100
Utah Jazz,110,263,4,-50000
Portland Trail Blazers,90,263,4,2100
Utah Jazz,110,263,4,-50000
Portland Trail Blazers,90,263,4,2100
Utah Jazz,110,263,4,-50000
Portland Trail Blazers,90,263,4,2100
Utah Jazz,110,263,4,-50000
Portland Trail Blazers,90,263,4,2100
Utah Jazz,110,263,4,-50000
Portland Trail Blazers,90,263,4,2100
Utah Jazz,110,263,4,-50000
Portland Trail Blazers,90,263,4,2100
Utah Jazz,110,254,4,-50000
Portland Trail Blazers,90,254,4,2100
Utah Jazz,110,242,4,-50000
Portland Trail Blazers,90,242,4,2100
Utah Jazz,110,234,4,-50000
Portland Trail Blazers,90,234,4,2100
Utah Jazz,110,229,4,-50000
Portland Trail Blazers,90,229,4,2100
Utah Jazz,110,213,4,-50000
Portland Trail Blazers,90,213,4,2100
Utah Jazz,110,213,4,-50000
Portland Trail Blazers,90,213,4,2100
Utah Jazz,110,213,4,-50000
Portland Trail Blazers,90,213,4,2100
Utah Jazz,110,213,4,-50000
Portland Trail Blazers,90,213,4,2100
Utah Jazz,110,213,4,-50000
Portland Trail Blazers,90,213,4,2100
Utah Jazz,110,213,4,-50000
Portland Trail Blazers,90,213,4,2100
Utah Jazz,110,213,4,-50000
Portland Trail Blazers,90,213,4,2100
Utah Jazz,110,213,4,-50000
Portland Trail Blazers,90,213,4,2100
Utah Jazz,111,213,4,-50000
Portland Trail Blazers,90,213,4,2100
Utah Jazz,112,212,4,-50000
Portland Trail Blazers,90,212,4,2100
Utah Jazz,112,212,4,-50000
Portland Trail Blazers,90,212,4,2100
Utah Jazz,112,212,4,-50000
Portland Trail Blazers,93,212,4,2100
Utah Jazz,112,222,4,-50000
Portland Trail Blazers,93,222,4,2100
Utah Jazz,112,222,4,-50000
Portland Trail Blazers,93,222,4,2100
Utah Jazz,112,222,4,-50000
Portland Trail Blazers,93,222,4,2100
Utah Jazz,112,216,4,-50000
Portland Trail Blazers,93,216,4,2100
Utah Jazz,112,195,4,-50000
Portland Trail Blazers,93,195,4,2100
Utah Jazz,112,178,4,-50000
Portland Trail Blazers,93,178,4,2100
Utah Jazz,112,161,4,-50000
Portland Trail Blazers,93,161,4,2100
Utah Jazz,112,144,4,-50000
Portland Trail Blazers,93,144,4,2100
Utah Jazz,113,139,4,-50000
Portland Trail Blazers,93,139,4,2100
Utah Jazz,113,131,4,-50000
Portland Trail Blazers,93,131,4,2100
Utah Jazz,113,113,4,-50000
Portland Trail Blazers,93,113,4,2100
Utah Jazz,116,97,4,-50000
Portland Trail Blazers,96,97,4,2100
Utah Jazz,116,81,4,-50000
Portland Trail Blazers,96,81,4,2100
Utah Jazz,116,119,4,-50000
Portland Trail Blazers,96,119,4,2100
Utah Jazz,118,43,4,-50000
Portland Trail Blazers,96,43,4,2100
Utah Jazz,118,42,4,-50000
Portland Trail Blazers,98,42,4,2100
Utah Jazz,118,36,4,-50000
Portland Trail Blazers,98,36,4,2100
Utah Jazz,119,27,4,-50000
Portland Trail Blazers,98,27,4,2100
Utah Jazz,120,49,4,-50000
Portland Trail Blazers,98,49,4,2100
Utah Jazz,120,49,4,-50000
Portland Trail Blazers,100,49,4,2100
Utah Jazz,120,49,4,-50000
Portland Trail Blazers,100,49,4,2100
Utah Jazz,120,39,4,-50000
Portland Trail Blazers,100,39,4,2100
Utah Jazz,120,20,4,-50000
Portland Trail Blazers,100,20,4,2100
Utah Jazz,120,10,4,-50000
Portland Trail Blazers,100,10,4,2100
Utah Jazz,120,0,4,-50000
Portland Trail Blazers,100,0,4,2100
Utah Jazz,120,0,4,-50000
Portland Trail Blazers,100,0,4,2100
Utah Jazz,120,0,4,-50000
Portland Trail Blazers,100,0,4,2100
Utah Jazz,120,0,4,-50000
Portland Trail Blazers,100,0,4,2100
Utah Jazz,120,0,4,-50000
Portland Trail Blazers,100,0,4,2100
Utah Jazz,120,0,4,-50000
Portland Trail Blazers,100,0,4,2100
Utah Jazz,120,0,0,-50000
Portland Trail Blazers,100,0,0,2100
Utah Jazz,120,0,0,-50000
Portland Trail Blazers,100,0,0,2100
