0,1,2,3,4
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,61,704,3,205
Philadelphia 76ers,58,704,3,-280
Washington Wizards,61,686,3,170
Philadelphia 76ers,58,686,3,-230
Washington Wizards,61,685,3,170
Philadelphia 76ers,58,685,3,-230
Washington Wizards,61,654,3,170
Philadelphia 76ers,58,654,3,-230
Washington Wizards,61,648,3,160
Philadelphia 76ers,58,648,3,-215
Washington Wizards,61,628,3,170
Philadelphia 76ers,58,628,3,-230
Washington Wizards,61,611,3,170
Philadelphia 76ers,58,611,3,-230
Washington Wizards,63,585,3,155
Philadelphia 76ers,58,585,3,-210
Washington Wizards,63,589,3,150
Philadelphia 76ers,58,589,3,-200
Washington Wizards,63,589,3,135
Philadelphia 76ers,58,589,3,-180
Washington Wizards,63,589,3,135
Philadelphia 76ers,58,589,3,-180
Washington Wizards,63,589,3,135
Philadelphia 76ers,58,589,3,-180
Washington Wizards,63,589,3,135
Philadelphia 76ers,58,589,3,-180
Washington Wizards,63,589,3,135
Philadelphia 76ers,58,589,3,-180
Washington Wizards,63,578,3,135
Philadelphia 76ers,58,578,3,-180
Washington Wizards,63,568,3,135
Philadelphia 76ers,58,568,3,-180
Washington Wizards,63,561,3,120
Philadelphia 76ers,58,561,3,-160
Washington Wizards,63,533,3,135
Philadelphia 76ers,58,533,3,-180
Washington Wizards,63,512,3,120
Philadelphia 76ers,58,512,3,-160
Washington Wizards,66,479,3,115
Philadelphia 76ers,58,479,3,-155
Washington Wizards,66,462,3,-130
Philadelphia 76ers,58,462,3,100
Washington Wizards,68,456,3,-180
Philadelphia 76ers,58,456,3,135
Washington Wizards,68,456,3,-165
Philadelphia 76ers,58,456,3,125
Washington Wizards,68,456,3,-180
Philadelphia 76ers,58,456,3,135
Washington Wizards,68,456,3,-180
Philadelphia 76ers,58,456,3,135
Washington Wizards,68,456,3,-180
Philadelphia 76ers,58,456,3,135
Washington Wizards,68,456,3,-180
Philadelphia 76ers,58,456,3,135
Washington Wizards,68,456,3,-180
Philadelphia 76ers,58,456,3,135
Washington Wizards,68,449,3,-180
Philadelphia 76ers,58,449,3,135
Washington Wizards,68,431,3,-180
Philadelphia 76ers,58,431,3,135
Washington Wizards,68,407,3,-185
Philadelphia 76ers,58,407,3,140
Washington Wizards,70,388,3,-220
Philadelphia 76ers,58,388,3,165
Washington Wizards,70,361,3,-380
Philadelphia 76ers,60,361,3,265
Washington Wizards,72,332,3,-300
Philadelphia 76ers,62,332,3,220
Washington Wizards,72,326,3,-280
Philadelphia 76ers,62,326,3,205
Washington Wizards,72,313,3,-260
Philadelphia 76ers,62,313,3,190
Washington Wizards,72,307,3,-280
Philadelphia 76ers,62,307,3,205
Washington Wizards,72,298,3,-280
Philadelphia 76ers,62,298,3,205
Washington Wizards,72,284,3,-230
Philadelphia 76ers,62,284,3,170
Washington Wizards,73,281,3,-310
Philadelphia 76ers,62,281,3,225
Washington Wizards,73,251,3,-300
Philadelphia 76ers,64,251,3,220
Washington Wizards,73,248,3,-250
Philadelphia 76ers,64,248,3,190
Washington Wizards,73,248,3,-210
Philadelphia 76ers,64,248,3,155
Washington Wizards,73,248,3,-210
Philadelphia 76ers,64,248,3,155
Washington Wizards,73,248,3,-210
Philadelphia 76ers,64,248,3,155
Washington Wizards,73,248,3,-210
Philadelphia 76ers,64,248,3,155
Washington Wizards,73,248,3,-210
Philadelphia 76ers,64,248,3,155
Washington Wizards,73,252,3,-210
Philadelphia 76ers,64,252,3,155
Washington Wizards,73,252,3,-210
Philadelphia 76ers,64,252,3,155
Washington Wizards,73,252,3,-210
Philadelphia 76ers,64,252,3,155
Washington Wizards,73,252,3,-210
Philadelphia 76ers,64,252,3,155
Washington Wizards,73,252,3,-180
Philadelphia 76ers,65,252,3,135
Washington Wizards,73,241,3,-180
Philadelphia 76ers,65,241,3,135
Washington Wizards,73,237,3,-180
Philadelphia 76ers,65,237,3,135
Washington Wizards,75,236,3,-230
Philadelphia 76ers,65,236,3,170
Washington Wizards,75,195,3,-190
