0,1,2,3,4
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,720,3,1300
Cleveland Cavaliers,65,720,3,-20000
Charlotte Hornets,44,702,3,1300
Cleveland Cavaliers,65,702,3,-20000
Charlotte Hornets,46,682,3,1300
Cleveland Cavaliers,65,682,3,-20000
Charlotte Hornets,46,658,3,1300
Cleveland Cavaliers,65,658,3,-20000
Charlotte Hornets,46,658,3,1300
Cleveland Cavaliers,66,658,3,-20000
Charlotte Hornets,46,641,3,1100
Cleveland Cavaliers,67,641,3,-6600
Charlotte Hornets,46,616,3,1300
Cleveland Cavaliers,70,616,3,-6600
Charlotte Hornets,51,585,3,1300
Cleveland Cavaliers,70,585,3,-6600
Charlotte Hornets,51,562,3,1600
Cleveland Cavaliers,72,562,3,-20000
Charlotte Hornets,51,544,3,1400
Cleveland Cavaliers,72,544,3,-20000
Charlotte Hornets,54,535,3,1400
Cleveland Cavaliers,72,535,3,-20000
Charlotte Hornets,54,536,3,1000
Cleveland Cavaliers,72,536,3,-4000
Charlotte Hornets,54,536,3,1000
Cleveland Cavaliers,72,536,3,-4000
Charlotte Hornets,54,536,3,1000
Cleveland Cavaliers,72,536,3,-4000
Charlotte Hornets,54,536,3,1000
Cleveland Cavaliers,72,536,3,-4000
Charlotte Hornets,54,536,3,1000
Cleveland Cavaliers,72,536,3,-4000
Charlotte Hornets,54,536,3,1000
Cleveland Cavaliers,72,536,3,-4000
Charlotte Hornets,54,524,3,1000
Cleveland Cavaliers,75,524,3,-4000
Charlotte Hornets,54,498,3,1000
Cleveland Cavaliers,75,498,3,-4000
Charlotte Hornets,54,493,3,1400
