0,1,2,3,4
Milwaukee Bucks,120,78,4,-180
Boston Celtics,119,78,4,135
Milwaukee Bucks,120,105,4,-180
Boston Celtics,119,105,4,135
Milwaukee Bucks,120,105,4,-180
Boston Celtics,119,105,4,135
Milwaukee Bucks,120,79,4,-180
Boston Celtics,119,79,4,135
Milwaukee Bucks,120,52,4,-180
Boston Celtics,119,52,4,135
Milwaukee Bucks,120,104,4,-180
Boston Celtics,119,104,4,135
Milwaukee Bucks,120,104,4,-180
Boston Celtics,119,104,4,135
Milwaukee Bucks,120,104,4,-180
Boston Celtics,119,104,4,135
Milwaukee Bucks,120,104,4,-180
Boston Celtics,119,104,4,135
Milwaukee Bucks,120,90,4,-180
Boston Celtics,119,90,4,135
Milwaukee Bucks,120,65,4,-180
Boston Celtics,119,65,4,135
Milwaukee Bucks,120,60,4,-180
Boston Celtics,119,60,4,135
Milwaukee Bucks,120,60,4,-180
Boston Celtics,119,60,4,135
Milwaukee Bucks,120,60,4,-180
Boston Celtics,119,60,4,135
Milwaukee Bucks,120,60,4,-180
Boston Celtics,119,60,4,135
Milwaukee Bucks,120,60,4,-180
Boston Celtics,119,60,4,135
Milwaukee Bucks,120,47,4,-180
Boston Celtics,122,47,4,135
Milwaukee Bucks,120,20,4,-180
Boston Celtics,122,20,4,135
Milwaukee Bucks,120,2,4,-180
Boston Celtics,122,2,4,135
Milwaukee Bucks,120,2,4,-180
Boston Celtics,122,2,4,135
Milwaukee Bucks,120,2,4,-180
Boston Celtics,122,2,4,135
Milwaukee Bucks,120,2,4,500
Boston Celtics,122,2,4,-900
Milwaukee Bucks,120,2,4,500
Boston Celtics,122,2,4,-900
Milwaukee Bucks,120,2,4,500
Boston Celtics,122,2,4,-900
Milwaukee Bucks,120,2,4,500
Boston Celtics,122,2,4,-900
Milwaukee Bucks,120,2,4,500
Boston Celtics,122,2,4,-900
Milwaukee Bucks,120,2,4,500
Boston Celtics,122,2,4,-900
Milwaukee Bucks,120,2,4,500
Boston Celtics,122,2,4,-900
Milwaukee Bucks,120,49,4,500
Boston Celtics,122,49,4,-900
Milwaukee Bucks,121,49,4,500
Boston Celtics,122,49,4,-900
Milwaukee Bucks,121,34,4,500
Boston Celtics,122,34,4,-900
Milwaukee Bucks,121,6,4,500
Boston Celtics,122,6,4,-900
Milwaukee Bucks,121,0,4,500
Boston Celtics,122,0,4,-900
Milwaukee Bucks,121,0,4,500
Boston Celtics,122,0,4,-900
Milwaukee Bucks,121,0,4,500
Boston Celtics,122,0,4,-900
Milwaukee Bucks,121,0,4,500
Boston Celtics,122,0,4,-900
Milwaukee Bucks,121,0,4,500
Boston Celtics,122,0,4,-900
Milwaukee Bucks,121,0,0,500
Boston Celtics,122,0,0,-900
