0,1,2,3,4
Minnesota Timberwolves,50,117,2,110
Detroit Pistons,55,107,2,-145
Minnesota Timberwolves,50,107,2,110
Detroit Pistons,55,81,2,-135
Minnesota Timberwolves,52,81,2,105
Detroit Pistons,57,26,2,105
Minnesota Timberwolves,54,26,2,-135
Detroit Pistons,57,23,2,110
Minnesota Timberwolves,56,23,2,-145
Detroit Pistons,59,654,3,205
Minnesota Timberwolves,58,654,3,-280
Detroit Pistons,59,641,3,200
Minnesota Timberwolves,58,641,3,-275
Detroit Pistons,61,616,3,200
Minnesota Timberwolves,58,616,3,-275
Detroit Pistons,63,589,3,200
Minnesota Timberwolves,61,589,3,-275
Detroit Pistons,63,565,3,155
Minnesota Timberwolves,61,565,3,-210
Detroit Pistons,66,531,3,170
Minnesota Timberwolves,61,531,3,-230
Detroit Pistons,68,504,3,125
Minnesota Timberwolves,61,504,3,-165
Detroit Pistons,68,479,3,100
Minnesota Timberwolves,61,479,3,-130
Detroit Pistons,71,469,3,100
Minnesota Timberwolves,61,469,3,-130
Detroit Pistons,71,469,3,-190
Minnesota Timberwolves,61,469,3,145
Detroit Pistons,71,469,3,-190
Minnesota Timberwolves,61,469,3,145
Detroit Pistons,71,469,3,-240
Minnesota Timberwolves,61,469,3,175
Detroit Pistons,71,469,3,-240
Minnesota Timberwolves,61,469,3,175
Detroit Pistons,71,469,3,-240
Minnesota Timberwolves,61,469,3,175
Detroit Pistons,71,469,3,-240
Minnesota Timberwolves,61,469,3,175
Detroit Pistons,71,455,3,-240
Minnesota Timberwolves,61,455,3,175
Detroit Pistons,71,420,3,-240
Minnesota Timberwolves,61,420,3,175
Detroit Pistons,73,409,3,-240
Minnesota Timberwolves,61,409,3,180
Detroit Pistons,73,411,3,-300
Minnesota Timberwolves,61,411,3,220
Detroit Pistons,73,383,3,-475
Minnesota Timberwolves,63,383,3,320
Detroit Pistons,73,371,3,-310
Minnesota Timberwolves,63,371,3,225
Detroit Pistons,73,371,3,-350
Minnesota Timberwolves,63,371,3,245
Detroit Pistons,74,371,3,-380
Minnesota Timberwolves,63,371,3,265
Detroit Pistons,76,357,3,-380
Minnesota Timberwolves,65,357,3,265
Detroit Pistons,76,329,3,-290
Minnesota Timberwolves,67,329,3,210
Detroit Pistons,76,303,3,-180
Minnesota Timberwolves,72,303,3,135
Detroit Pistons,76,290,3,-180
Minnesota Timberwolves,72,290,3,135
Detroit Pistons,76,290,3,-165
Minnesota Timberwolves,72,290,3,125
Detroit Pistons,76,290,3,-165
Minnesota Timberwolves,72,290,3,125
Detroit Pistons,76,290,3,-165
Minnesota Timberwolves,72,290,3,125
Detroit Pistons,76,290,3,-165
Minnesota Timberwolves,72,290,3,125
Detroit Pistons,76,290,3,-165
Minnesota Timberwolves,72,290,3,125
Detroit Pistons,76,275,3,-165
Minnesota Timberwolves,72,275,3,125
Detroit Pistons,78,264,3,-165
Minnesota Timberwolves,72,264,3,125
Detroit Pistons,78,230,3,-175
Minnesota Timberwolves,72,230,3,130
Detroit Pistons,81,203,3,-175
Minnesota Timberwolves,75,203,3,130
Detroit Pistons,81,190,3,-210
Minnesota Timberwolves,75,190,3,155
Detroit Pistons,81,170,3,-175
Minnesota Timberwolves,75,170,3,130
Detroit Pistons,81,155,3,-210
Minnesota Timberwolves,75,155,3,155
Detroit Pistons,81,145,3,-215
Minnesota Timberwolves,75,145,3,160
Detroit Pistons,81,135,3,-180
Minnesota Timberwolves,75,135,3,135
Detroit Pistons,83,115,3,-180
Minnesota Timberwolves,75,115,3,135
Detroit Pistons,83,115,3,-230
Minnesota Timberwolves,76,115,3,170
Detroit Pistons,83,115,3,-260
Minnesota Timberwolves,77,115,3,190
Detroit Pistons,85,88,3,-230
Minnesota Timberwolves,77,88,3,170
Detroit Pistons,85,71,3,-280
Minnesota Timberwolves,77,71,3,205
Detroit Pistons,85,61,3,-220
Minnesota Timberwolves,77,61,3,165
Detroit Pistons,85,61,3,-360
Minnesota Timberwolves,77,61,3,250
Detroit Pistons,85,48,3,-290
Minnesota Timberwolves,78,48,3,215
Detroit Pistons,85,45,3,-230
Minnesota Timberwolves,78,45,3,170
